Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Pred Threat,anomaly_score,is_anomaly
ISSUE-0022,KEY-0022,Supplier Security Compliance Gaps,1,Procurement Security,Low,Resolved,Reporter 1,Assignee 1,2023-03-11,2023-03-16 00:00:00.000000,5.000000000000003,40.74,Critical,Legal,Steps to resolve Supplier Security Compliance Gaps,1081732.4999999998,KPI,User_82,2023-03-11 05:32:00,data_modification,DE,DE,1322.0,26.0,9.0,2880.0000000000005,58.58021523178485,3627.0,11.348,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0023,KEY-0023,Weak Authentication Protocols,1,Access Control,Medium,Closed,Reporter 2,Assignee 8,2024-11-24,2024-12-02 00:00:00.000000,7.999999999999978,59.62,Critical,C-Suite Executives,Steps to resolve Weak Authentication Protocols,2467924.9999999995,KPI,User_60,2024-11-24 14:46:00,login,FR,FR,1118.0,26.0,27.0,2230.0,47.796954032205534,3525.0,16.073999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
ISSUE-0024,KEY-0024,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Resolved,Reporter 1,Assignee 3,2023-05-28,2023-05-29 00:00:00.000000,1.0000000000000142,47.0,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,1578839.0,KPI,User_34,2023-05-28 04:52:00,data_modification,CANADA,CANADA,900.0000000000001,26.0,28.0,2173.9999999999995,62.570814797688776,3620.0,14.55,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0025,KEY-0025,Inadequate Firewall Configurations,1,Network Security,Critical,In Progress,Reporter 10,Assignee 20,2024-06-09,2025-05-06 02:51:05.231249,330.99999999999994,56.37,Critical,Finance,Steps to resolve Inadequate Firewall Configurations,2355440.0,KPI,User_92,2024-06-09 11:20:00,data_modification,AU,EU,900.0000000000001,26.0,3.0,5474.0,48.38370255414788,3530.0,16.474,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0026,KEY-0026,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 6,Assignee 17,2023-12-23,2025-05-06 02:51:05.231249,500.0000000000001,36.03,Critical,Finance,Steps to resolve Incomplete Risk Management Framework,451072.9999999999,KPI,User_39,2023-12-23 18:49:00,data_modification,USA,Unknown,1828.0,26.0,6.0,4943.0,57.27895908473652,6463.0,12.255999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0027,KEY-0027,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Resolved,Reporter 10,Assignee 6,2024-06-01,2024-06-03 00:00:00.000000,2.0000000000000284,72.83999999999999,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,1929692.0,KRI,User_37,2024-06-01 18:27:00,file_access,DE,Unknown,1241.0,31.0,13.0,4300.999999999999,61.43536493489971,6245.0,19.868000000000006,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0028,KEY-0028,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,High,Resolved,Reporter 9,Assignee 5,2025-04-24,2025-05-03 00:00:00.000000,8.999999999999991,56.38,Critical,Finance,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1251866.0,KRI,User_34,2025-04-24 10:40:00,file_access,DE,DE,1020.0,28.0,17.0,4166.0,58.60159092473885,6961.0,16.326000000000004,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0029,KEY-0029,Supplier Security Compliance Gaps,1,Procurement Security,High,Open,Reporter 7,Assignee 10,2023-05-11,2025-05-06 02:51:05.231249,725.9999999999999,44.44,Critical,HR,Steps to resolve Supplier Security Compliance Gaps,1564843.9999999998,KPI,User_50,2023-05-11 03:24:00,data_modification,FR,FR,1155.0,26.0,10.0,994.9999999999997,25.590604799049792,5356.0,13.787999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0030,KEY-0030,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 3,Assignee 12,2024-07-31,2025-05-06 02:51:05.231249,279.0,88.47999999999999,Critical,External Contractors,Steps to resolve Detected Malware Infiltration in Internal Systems,793119.9999999999,KRI,User_77,2024-07-31 05:42:00,data_modification,EU,EU,900.0000000000001,26.0,9.0,1157.5,64.37240340869897,5972.0,21.245999999999995,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0031,KEY-0031,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,Closed,Reporter 10,Assignee 18,2024-06-25,2024-07-02 00:00:00.000000,7.000000000000031,1.9999999999999996,Low,Legal,Steps to resolve Increased Exposure due to Insufficient Data Encryption,217457.5,KRI,User_57,2024-06-25 15:51:00,login,IN,IN,900.0000000000001,26.0,6.0,702.4999999999999,37.43911967149097,3193.0,2.4000000000000004,Low,No Action Needed | Limit Data Transfer,Green,3,3,False
ISSUE-0032,KEY-0032,Weak Authentication Protocols,1,Access Control,Critical,Closed,Reporter 7,Assignee 12,2024-05-05,2024-05-10 00:00:00.000000,5.000000000000003,42.98,Critical,C-Suite Executives,Steps to resolve Weak Authentication Protocols,747377.0,KPI,User_69,2024-05-05 14:54:00,data_modification,JP,IN,3148.0,26.0,17.0,2450.0,30.80130441661111,7790.0,13.946,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0033,KEY-0033,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Resolved,Reporter 3,Assignee 2,2024-04-29,2024-04-30 00:00:00.000000,1.0000000000000142,32.65,Critical,External Contractors,Steps to resolve Insufficient Access Control Measures,811315.0000000001,KPI,User_32,2024-04-29 00:51:00,login,IN,Unknown,900.0000000000001,26.0,9.0,3650.0000000000005,28.39347877937639,3609.0,10.28,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
ISSUE-0034,KEY-0034,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Resolved,Reporter 5,Assignee 12,2024-05-09,2024-05-11 00:00:00.000000,2.0000000000000284,66.17,Critical,HR,Steps to resolve Detected Malware Infiltration in Internal Systems,1102918.9999999998,KRI,User_26,2024-05-09 17:20:00,data_modification,CANADA,EU,900.0000000000001,35.0,13.0,518.0000000000001,41.442626004043376,3656.0,18.233999999999998,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0035,KEY-0035,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 6,Assignee 10,2024-02-10,2025-05-06 02:51:05.231249,451.0,65.41,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,480596.00000000006,KPI,User_42,2024-02-10 11:02:00,login,USA,USA,1311.0,26.0,17.0,5798.0,44.114299942768106,7989.000000000001,18.131999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0036,KEY-0036,Supplier Security Compliance Gaps,1,Procurement Security,Medium,In Progress,Reporter 4,Assignee 1,2023-05-07,2025-05-06 02:51:05.231249,729.9999999999999,22.68,Critical,Sales,Steps to resolve Supplier Security Compliance Gaps,938429.9999999999,KPI,User_77,2023-05-07 12:01:00,login,AU,AU,1288.0,26.0,12.0,5122.5,26.466175417305948,6684.0,8.836,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange,2,2,False
ISSUE-0037,KEY-0037,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Open,Reporter 1,Assignee 20,2023-04-15,2025-05-06 02:51:05.231249,751.9999999999998,5.9,Medium,IT,Steps to resolve Access by Unauthorized Personnel Detected,932797.5,KRI,User_6,2023-04-15 19:03:00,file_access,CN,CN,900.0000000000001,26.0,12.0,5157.5,47.07362863457538,3752.0,3.830000000000001,Low,No Action Needed | Limit Data Transfer,Green,3,3,False
ISSUE-0038,KEY-0038,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Open,Reporter 3,Assignee 10,2023-03-03,2025-05-06 02:51:05.231249,794.9999999999999,32.65,Critical,IT,Steps to resolve Missing or Inaccurate Asset Records,2754614.0,KPI,User_19,2023-03-03 22:24:00,login,CANADA,CANADA,1012.0,39.0,6.0,4664.000000000001,74.9528523549201,5759.0,12.08,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,1,1,True
ISSUE-0039,KEY-0039,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,In Progress,Reporter 6,Assignee 14,2023-12-13,2025-05-06 02:51:05.231249,510.0,64.08,Critical,Operations,Steps to resolve Missing or Inaccurate Asset Records,271482.50000000006,KPI,User_74,2023-12-13 09:34:00,data_modification,UK,UK,900.0000000000001,26.0,12.0,1412.5,27.066476319250835,3189.0,16.966,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
ISSUE-0040,KEY-0040,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,Closed,Reporter 4,Assignee 20,2024-07-10,2024-07-14 00:00:00.000000,3.999999999999989,16.580000000000002,Critical,HR,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1685232.4999999998,KRI,User_13,2024-07-10 06:41:00,file_access,Unknown,Unknown,1094.0,26.0,9.0,5065.0,58.52470936852647,6706.0,6.666,Medium,Log Activity for Reference | Limit Data Transfer,Light Yellow,4,4,False
ISSUE-0041,KEY-0041,Inadequate Firewall Configurations,1,Network Security,High,Open,Reporter 8,Assignee 17,2023-07-28,2025-05-06 02:51:05.231249,648.0,36.71,Critical,Finance,Steps to resolve Inadequate Firewall Configurations,1178591.0,KPI,User_34,2023-07-28 07:22:00,data_modification,CN,CN,1143.0,26.0,10.0,1934.0,67.28210578190848,3891.9999999999995,12.392,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0042,KEY-0042,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 10,Assignee 16,2023-12-21,2025-05-06 02:51:05.231249,502.0,13.690000000000001,Critical,C-Suite Executives,Steps to resolve Detected Malware Infiltration in Internal Systems,323656.9999999999,KRI,User_63,2023-12-21 07:56:00,data_modification,JP,JP,1672.0,26.0,21.0,3370.9999999999995,31.96895626392191,7322.0,8.287999999999998,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,Red,2,2,False
ISSUE-0043,KEY-0043,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Resolved,Reporter 9,Assignee 12,2024-04-23,2024-04-28 00:00:00.000000,5.000000000000003,106.79999999999998,Critical,External Contractors,Steps to resolve Unauthorized Access Leading to Data Exposure,368410.9999999999,KRI,User_67,2024-04-23 04:19:00,file_access,CANADA,CANADA,900.0000000000001,26.0,13.0,2626.9999999999995,77.32448443928423,5043.0,26.209999999999997,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0044,KEY-0044,Inconsistent Review of Security Policies,1,Management Oversight,Low,In Progress,Reporter 7,Assignee 5,2023-01-02,2025-05-06 02:51:05.231249,855.0,78.56999999999998,Critical,External Contractors,Steps to resolve Inconsistent Review of Security Policies,912212.5000000001,KPI,User_2,2023-01-02 19:34:00,data_modification,UK,USA,900.0000000000001,26.0,18.0,3509.999999999999,32.98903679878895,6120.0,19.264,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0045,KEY-0045,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Resolved,Reporter 9,Assignee 7,2025-01-16,2025-01-22 00:00:00.000000,6.000000000000017,69.95,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1071974.0,KPI,User_86,2025-01-16 10:57:00,login,JP,USA,900.0000000000001,26.0,6.0,1898.0,28.0891177809914,4275.0,18.69,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0046,KEY-0046,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,High,Closed,Reporter 9,Assignee 3,2025-03-03,2025-03-12 00:00:00.000000,8.999999999999991,60.99,Critical,Finance,Steps to resolve Insufficient Coverage in Annual Risk Assessment,226613.0,KPI,User_20,2025-03-03 05:46:00,login,UK,UK,1665.0,26.0,10.0,4526.0,33.55482274707633,4625.0,17.098,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,1,1,True
ISSUE-0047,KEY-0047,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,In Progress,Reporter 2,Assignee 16,2025-02-09,2025-05-06 02:51:05.231249,86.0,18.11,Critical,Operations,Steps to resolve Weak Cloud Storage Access Controls,791957.5,KRI,User_65,2025-02-09 10:59:00,data_modification,USA,USA,1435.0,26.0,15.0,1637.5,26.36953609448484,4449.0,7.772,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange,2,2,False
ISSUE-0048,KEY-0048,Inadequate Firewall Configurations,1,Network Security,Low,Open,Reporter 7,Assignee 7,2023-04-24,2025-05-06 02:51:05.231249,743.0,43.62,Critical,HR,Steps to resolve Inadequate Firewall Configurations,700344.9999999999,KPI,User_41,2023-04-24 12:08:00,login,DE,DE,1345.0,26.0,9.0,3060.0000000000005,39.9013563929623,5016.0,12.124,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0049,KEY-0049,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,In Progress,Reporter 6,Assignee 3,2024-04-22,2025-05-06 02:51:05.231249,379.00000000000006,54.53999999999999,Critical,Sales,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1539614.9999999998,KPI,User_30,2024-04-22 01:17:00,file_access,AU,AU,900.0000000000001,26.0,6.0,7110.0,67.59747958647341,4251.0,14.458,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,1,1,True
ISSUE-0050,KEY-0050,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,Open,Reporter 1,Assignee 10,2024-07-17,2025-05-06 02:51:05.231249,293.0,90.88,Critical,Finance,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1348529.9999999998,KPI,User_51,2024-07-17 12:36:00,login,CN,CN,1401.0,42.0,12.0,892.5000000000005,77.69773343361828,3868.9999999999995,22.476,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
ISSUE-0051,KEY-0051,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,Open,Reporter 8,Assignee 17,2024-05-10,2025-05-06 02:51:05.231249,360.99999999999994,76.4,Critical,IT,Steps to resolve Detected Malware Infiltration in Internal Systems,453194.99999999994,KRI,User_49,2024-05-10 21:27:00,data_modification,CANADA,CANADA,2163.0,26.0,15.0,1185.0000000000002,22.24470574854022,5776.0,19.429999999999996,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,1,1,True
